company,email,name,age,gender,sexual_orientation,marital_status,race,religion,location,address,employment_status,job,pet,phone_number,device_type,interests,height,weight,next_of_kin,mum_maiden_name,employer,past_employer,bank_account,salary,social_profile_friends,social_profile_hobbies,social_profile_interests,birth_country,allergies,health_info,face_recognition,environment_recognition,product_recognition,contacts,voice_recognition,camera_roll,languages
cvs_pharmacy,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1
coinbase,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0.0,0,1,1,0,0,0,0,0,0,0,1,0,1
justeat,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1
facetune,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,1,0,0,0,1,1
wetherspoon,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
pornhub,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
mcdonalds,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1
bet365,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
headspace,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,1,0,0,0,0,0,0,1
google_docs,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1
google_sheets,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1
gmail,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1
vsco,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,0,1,0,1,1
skybet,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1
flo_my_health,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1
snapchat,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,1,0,1,1,1,1
bumble,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0.0,1,1,1,0,0,1,1,0,0,1,1,1,1
alexa,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,1,1,1,1
prime,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1
twitch,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,,1,1,1,0,0,0,1,0,0,0,1,1,1
